Type,Freq.Const.Speaker,Agt.Freq.Noun,Tense,Pr.2.Pr,Co.2.Pr,Polarity,Style,Gender,Age,Education
Singular,0.6452,0.04,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.625,0.14,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.6061,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5882,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5714,0.02,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5556,0.02,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5405,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5526,0.035,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5385,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.525,0.035,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5366,0.155,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5238,0.005,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5116,0.005,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5,0.07,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4889,0.07,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4894,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0.12,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5098,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5,0.015,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4906,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5091,0.03,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5,0.015,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4912,0.045,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4828,0.04,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4915,0.22,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4833,0.09,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4754,0.03,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4677,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4762,0.02,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4844,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4923,0.03,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5075,0.05,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5147,0.04,All.Others,No.Priming,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5072,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5,0.105,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.493,0.105,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4932,0.105,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0.3,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4933,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0.12,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5065,0.135,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5128,0.135,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5063,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5,0.01,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4938,0.05,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.506,0.065,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5119,0.01,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5176,0.19,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5116,0.075,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5057,0.09,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.5,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4944,0,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4835,0.09,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4891,0,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4946,0,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0.4894,0.095,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.4947,0.095,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Plural,0.5,0.015,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University
Singular,0,0.01,All.Others,Singular,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0.035,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0.035,Present-Preterit,Singular,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0.06,All.Others,Singular,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0.06,Present-Preterit,Singular,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0.12,Present-Preterit,Singular,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0,Present-Preterit,Singular,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0.185,Present-Preterit,Singular,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0,0.05,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0769,0.05,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0714,0.03,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0667,0.005,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0625,0.12,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0588,0.03,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0556,0.03,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0526,0.03,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0476,0.03,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0455,0.04,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.0435,0.14,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0833,0,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.08,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0769,0.02,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0741,0.005,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.0714,0.035,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.069,0.035,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.1,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.129,0.035,Present-Preterit,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.125,0.005,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.1212,0.005,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.1176,0.07,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.1143,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.1389,0.015,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.1622,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.1842,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2051,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.225,0.015,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2143,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2326,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.25,0.03,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2444,0.015,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2609,0.045,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2766,0.04,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2917,0.04,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2857,0.22,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.28,0.22,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2941,0.09,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2885,0.03,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.283,0,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2778,0.02,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2909,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2857,0.03,Present-Preterit,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2807,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2759,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2712,0,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2667,0.05,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2787,0.04,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2903,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2857,0.105,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2969,0.3,Present-Preterit,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.2923,0.12,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2879,0.235,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.2899,0.135,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3,0.135,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3056,0.005,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3151,0.01,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.3243,0.05,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.32,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3158,0.065,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3247,0.01,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3333,0.19,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3418,0.075,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.35,0.075,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.358,0.09,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3659,0,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.3735,0,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3765,0.095,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Singular,0.3908,0.095,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3864,0.015,All.Others,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0.3933,0.015,All.Others,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Youngest.Speakers,University
Plural,0,0.125,All.Others,No.Priming,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,1,0.15,All.Others,No.Priming,No.Priming,Positive,Interview,Male,Oldest.Speakers,Less
Plural,1,0.19,All.Others,Pluralized,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Plural,1,0.005,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,1,0.145,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,1,0.145,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,1,0.005,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Singular,1,0.005,All.Others,Pluralized,Pluralized,Negative,Interview,Male,Oldest.Speakers,Less
Plural,0.875,0.03,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.8889,0.03,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.8,0.03,All.Others,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.8182,0.03,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.8462,0.01,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.8571,0.01,All.Others,Pluralized,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.8667,0.02,All.Others,No.Priming,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.875,0.005,All.Others,Pluralized,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.8824,0,All.Others,Pluralized,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.8889,0.03,All.Others,Pluralized,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.8421,0.03,All.Others,Singular,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.8,0.005,Present-Preterit,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.7273,0,All.Others,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.6957,0,All.Others,No.Priming,No.Priming,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.7083,0.01,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.68,0.015,Present-Preterit,Singular,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.6538,0.015,Present-Preterit,Singular,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.6296,0.005,All.Others,Singular,Pluralized,Positive,Interview,Male,Oldest.Speakers,Less
Plural,0.6429,0.005,All.Others,No.Priming,No.Priming,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.6333,0.025,Present-Preterit,No.Priming,Singular,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.625,0.185,All.Others,No.Priming,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,Less
Singular,0.6061,0.07,All.Others,No.Priming,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,Less
Plural,0.5882,0.015,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,Less
Plural,0.6,0.015,All.Others,Pluralized,No.Priming,Negative,Interview,Male,Oldest.Speakers,Less
Plural,0.6111,0.015,All.Others,Pluralized,No.Priming,Positive,Interview,Male,Oldest.Speakers,Less
Singular,0.6316,0.12,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,Less
Plural,0.6154,0.015,Present-Preterit,Singular,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,Less
Plural,0.625,0.015,Present-Preterit,Pluralized,No.Priming,Negative,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,Less
Singular,0.6512,0,All.Others,Pluralized,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,Less
Singular,0.6364,0,All.Others,Singular,No.Priming,Positive,Reading.Task-Questionnaire.Task,Male,Oldest.Speakers,Less
Singular,0,0.045,Present-Preterit,No.Priming,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.3333,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.25,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.2,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.3333,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.375,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.4444,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.4,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.3636,0.045,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Plural,0.3333,0.18,All.Others,No.Priming,Pluralized,Positive,Interview,Female,Oldest.Speakers,Less
Plural,0.3077,0.14,All.Others,No.Priming,No.Priming,Positive,Interview,Female,Oldest.Speakers,Less
Plural,0.2857,0.17,All.Others,No.Priming,Pluralized,Negative,Interview,Female,Oldest.Speakers,Less
Singular,0.2667,0.1,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.25,0.12,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.2353,0,Present-Preterit,Singular,Pluralized,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.2222,0,Present-Preterit,Singular,Pluralized,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.2105,0.01,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.25,0.01,Present-Preterit,Singular,Singular,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.2857,0.18,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.3182,0.075,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Female,Oldest.Speakers,Less
Plural,0.3043,0.145,All.Others,No.Priming,Pluralized,Positive,Interview,Female,Oldest.Speakers,Less
Singular,0.2917,0,Present-Preterit,Pluralized,Pluralized,Positive,Interview,Female,Oldest.Speakers,Less
Plural,0.28,0.12,Present-Preterit,No.Priming,Pluralized,Positive,Interview,Female,Oldest.Speakers,Less
Plural,0,0,All.Others,No.Priming,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,1,0.005,All.Others,No.Priming,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.5,0,Present-Preterit,No.Priming,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Plural,0.3333,0,All.Others,Singular,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Plural,0.5,0.245,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.6,0.185,Present-Preterit,No.Priming,Singular,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.5,0.185,Present-Preterit,Singular,Singular,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.4286,0.155,Present-Preterit,Singular,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.375,0.02,Present-Preterit,No.Priming,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Plural,0.3333,0.12,All.Others,No.Priming,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Plural,0.4,0.005,All.Others,No.Priming,Singular,Negative,Interview,Male,Youngest.Speakers,University
Plural,0.4545,0.005,All.Others,Pluralized,Singular,Positive,Interview,Male,Youngest.Speakers,University
Plural,0.5,0.01,All.Others,Pluralized,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.5385,0,Present-Preterit,Pluralized,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.5,0.01,Present-Preterit,Singular,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.4667,0.185,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Plural,0.4375,0,All.Others,Singular,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.4706,0.025,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Plural,0.4444,0.015,All.Others,No.Priming,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.4737,0.01,All.Others,No.Priming,No.Priming,Negative,Interview,Male,Youngest.Speakers,University
Plural,0.45,0.17,All.Others,No.Priming,Pluralized,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.4762,0.015,Present-Preterit,No.Priming,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
Singular,0.4545,0.06,Present-Preterit,Singular,No.Priming,Positive,Interview,Male,Youngest.Speakers,University
