norm_F1,Proactive,Reactive,Style,BirthYear,Sex,PartnerEthnicity,PhillyLiveTime,HighSchoolType,Occupation_Group,wordLength
875,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
860,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
889,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
946,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
599,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
1054,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
875,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
908,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
909,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
849,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
774,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
842,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
782,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
873,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
802,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
765,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
866,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
968,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
808,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
899,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
946,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
907,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
923,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
843,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
840,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
820,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
611,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
836,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
884,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
901,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
806,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
784,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
747,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,9
937,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
1013,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
932,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
791,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
880,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
911,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
915,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
887,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
1258,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
733,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
792,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,7
881,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
853,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
853,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
796,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
764,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
778,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
744,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
853,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,3
876,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
878,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
857,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
768,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
964,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
805,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
906,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
888,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
812,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
755,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
956,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
845,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
573,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
564,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
859,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
564,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
753,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
635,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
896,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
876,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
720,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
903,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
636,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
788,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
881,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
1014,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
871,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
967,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
944,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
476,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
744,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
897,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
950,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,3
834,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
971,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
813,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
764,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
669,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
740,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
857,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
957,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
769,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
920,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,3
764,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
958,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
829,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
660,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
771,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
856,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
973,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
679,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
849,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
675,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
713,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
832,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
824,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
812,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,3
615,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,8
879,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
973,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
943,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
954,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
761,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
509,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
905,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
700,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
902,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
875,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
836,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
646,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
819,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
730,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
710,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
828,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,3
910,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
1029,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
883,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
676,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
656,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
722,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
881,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,4
981,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
608,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
799,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
790,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,3
870,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
878,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
920,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
818,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
882,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
730,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
605,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
901,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
1045,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
828,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
932,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
873,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
819,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
744,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
891,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
897,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
832,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,6
927,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,2
773,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
804,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
901,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,3
684,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,5
661,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,8
911,Weaker Proactive Control,Stronger Reactive Control,Conversational,1960,Female,Other Hispanic,Other (please specify),Public,Production,1
555,Weaker Proactive Control,Stronger Reactive Control,Read,1960,Female,Other Hispanic,Other (please specify),Public,Production,10
693,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
745,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
809,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
766,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,7
735,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
906,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
813,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
785,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
718,Weaker Proactive Control,Weaker Reactive Control,Read,1965,Male,Puerto Rican,Since high school,Public,Service,4
774,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
990,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
774,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
780,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
817,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
676,Weaker Proactive Control,Weaker Reactive Control,Read,1965,Male,Puerto Rican,Since high school,Public,Service,6
671,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,5
887,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
1170,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
608,Weaker Proactive Control,Weaker Reactive Control,Read,1965,Male,Puerto Rican,Since high school,Public,Service,7
884,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
801,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
829,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,5
791,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
798,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
802,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
665,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
663,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
713,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
867,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,7
686,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
788,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
824,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,5
902,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
848,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
652,Weaker Proactive Control,Weaker Reactive Control,Read,1965,Male,Puerto Rican,Since high school,Public,Service,6
1161,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,3
776,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
803,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
891,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
804,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
858,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
857,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
638,Weaker Proactive Control,Weaker Reactive Control,Read,1965,Male,Puerto Rican,Since high school,Public,Service,7
888,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
788,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
703,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
810,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
876,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
718,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,5
695,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
818,Weaker Proactive Control,Weaker Reactive Control,Read,1965,Male,Puerto Rican,Since high school,Public,Service,5
716,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
677,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,5
790,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
722,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
759,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
751,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
882,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
671,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,5
902,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
861,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,6
853,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
912,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
869,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
727,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
779,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
965,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,5
889,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,6
786,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
880,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
841,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
764,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,11
912,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
808,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
811,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,2
712,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
770,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
844,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
732,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,4
821,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
816,Weaker Proactive Control,Weaker Reactive Control,Conversational,1965,Male,Puerto Rican,Since high school,Public,Service,1
