type,noun,Typical.Action.Chain.Pos,province,state,negation,broad.regions,locality,before,token,after,tense,corpus,long,lat,characters_before_noun,noun_length
plural,ignorantes,head,Alicante,Valencian Community,absent,East,Alicante,hace_vmip000 50_z0 años_nc0p000 seguramente_rg,habían_vaii000,"ignorantes_nc0p000 como_cs tú_pp000000 diciendo_vmg0000 lo_da0000 mismo_pi000000 ,_fc de_sp000 ser_vsn0000 por_sp000 ellos_pp000000 no_rn habríamos_vaic000 avanzado_vmp0000 ._fphttpst.conistvxloq0_nc0s000",other,Twitter,-0.4906855,38.3459963,82,10
singular,noticias,tail.setting,Asturias,Asturias,absent,North,Oviedo,durante_sp000 la_da0000 #comiccon_np00000 2016_z0,podría_vmic000 haber_van0000,noticias_nc0p000 de_sp000 la_da0000 versión_nc0s000 de_sp000 #aliens_np00000 de_sp000 neil_aq0000 blomkamp_np00000 ya_rg que_pr000000 hay_vaip000 un_di0000 panel_nc0s000 con_sp000 el_da0000 casting_nc0s000 original_aq0000 #aliens_np00000,other,Twitter,-5.8493887,43.3619145,94,8
singular,extremos,tail.setting,Alicante,Valencian Community,absent,East,Alicante,si_cs es_vsip000 legal_aq0000 la_da0000 hoz_nc0s000 y_cc martillo_nc0s000 comunistas_nc0p000 también_rg lo_pp000000 es_vsip000 el_da0000 águila_nc0s000 .,debe_vmip000 haber_van0000,extremos_nc0p000 para_sp000 que_cs se_p0000000 neutralicen._nc0p000,other,Twitter,-0.4906855,38.3459963,25,8
plural,triples,tail.setting,Valencia,Valencian Community,absent,East,Valencia,xhiitt_nc00000 briihd_aq0000 pues_cs en_sp000 el_da0000 best_nc0s000 of_np00000 se_p0000000 me_pp000000 hizo_vmis000 como_sp000 que_cs,habían_vaii000,más_rg triples_nc0p000 hs_vaip000 que_cs inter_vmn0000 multis_rg xddd_nc0s000,other,Twitter,-0.3762881,39.4699075,29,7
singular,personas,head,Madrid,Community of Madrid,absent,Center,Madrid,,podría_vmic000 haber_van0000,más_rg personas_nc0p000 en_sp000 el_da0000 mundo_nc0s000 como_cs esteruss_nc0p000 osea_vmip000 que_cs amor_nc0s000,other,Twitter,-3.7037902,40.4167754,44,8
singular,relaciones,tail.setting,Tarragona,Catalonia,present,East,Tarragona,"f9nastic_z0 creo_vmip000 que_cs no_rn se_p0000000 merecen_vmip000 que_cs les_pp000000 ayudemos_vmsp000 de_sp000 ninguna_di0000 manera_nc0s000 ,_fc andreu_nc0s000 dijo_vmis000 que_cs no_rn",había_vaii000,relaciones_nc0p000 y_cc espero_vmip000 que_cs así_rg siga_vmsp000,other,Twitter,1.2444909,41.1188827,22,10
singular,videos,tail.setting,Zaragoza,Aragon,absent,East,Zaragoza,"""_fe me_pp000000 lo_pp000000 estoy_vmip000 tomando_vmg0000 enserio_nc0s000 ""_fe ""_fe",habrá_vaif000,"videos_nc0p000 más_rg seguido_aq0000 ""_fe barbararbelieve_vmm0000 httpst.cowoivjjyhlm_nc0s000",other,Twitter,-0.8890853,41.6488226,50,6
singular,abarcas,tail.setting,Huesca,Aragón,present,East,Oliván,: y después de la guerra no ,había, ni abarcas ni zapatos de goma ni leches.,other,Coser,-0.3020749,42.5755307,34,7
singular,casas,tail.setting,A Coruña,Galicia,absent,North,A Coruña,finalmente_rg sí_rg,habrá_vaif000,casas_nc0p000 regionales_aq0000 este_dd0000 año_nc0s000 httpst.co8qylzwppwj_z0,other,Twitter,-8.4115401,43.3623436,40,5
singular,warlords,head,Sevilla,Andalusia,absent,South,Seville,como_cs expansión_nc0s000 no_rn es_vsip000 que_cs me_pp000000,haya_vasp000,"gustado_vmp0000 mucho_rg ,_fc pero_cc la_pp000000 ost_nc0s000 es_vsip000 genial_aq0000 wow_vaip000 warlords_nc0p000 of_np00000 draenor_np00000 soundtrack_np00000 httpst.coo6fvjbs016_z0",other,Twitter,-5.9844589,37.3890924,84,8
singular,fotos,tail.setting,Barcelona,Catalonia,absent,East,Barcelona,txin_txan_nc00000 deirdrepss_nc0p000 herrforehead_nc0s000 hostias_aq0000 cuál_pt000000 xdd_np00000 porque_cs,hubo_vais000,muuuchas_aq0000 fotos_nc0p000 xdd_nc0s000,synthetic.preterit,Twitter,2.1734035,41.3850639,13,5
singular,accidentes,tail.setting,Toledo,Castilla-La-Mancha,absent,Center,La Nava de Ricomalillo,y por áhi ,ha habido, unos accidentes...,other,Coser,-4.9883486,39.6519539,9,10
singular,noches,tail.setting,Albacete,Castilla-La-Mancha,absent,Center,Fuente del Pino,,había,muchas noches que no,other,Coser,-1.2946714,38.5417306,14,6
singular,remolinos,tail.setting,Madrid,Community of Madrid,present,Center,Madrid,si_cs me_p0000000 olvidas_aq0000 no_rn,habrá_vaif000,"remolinos_nc0p000 ,_fc ni_cc altibajos_nc0p000 de_sp000 emociones_nc0p000 vanesamartin_aq0000 __nc0n000",other,Twitter,-3.7037902,40.4167754,43,9
singular,clases,tail.setting,Barcelona,Catalonia,absent,East,Barcelona,albeert_5_z0 siempre_rg,hubo_vais000,clases_nc0p000 jajaja_aq0000,synthetic.preterit,Twitter,2.1734035,41.3850639,7,6
singular,barreños,tail.setting,Guadalajara,Castilla-La-Mancha,absent,Center,Yebra,"cuando llegaban las fiestas, pos ",había, unos barreños grandes,other,Coser,-2.9663075,40.3564009,14,8
singular,toros,head,Madrid,Comunidad de Madrid,absent,Center,Humanes de Madrid,pues solo ,había," toros el lunes y el martes, el lunes",other,Coser,-3.8209585,40.2596169,32,5
singular,tripitidores,head,Sevilla,Andalusia,absent,South,Seville,de_sp000 toda_di0000 la_da0000 vida_nc0s000,hubo_vais000,tripitidores_nc0p000 de_sp000 curso_nc0s000 ._fplo_da0000 que_pr000000 hay_vaip000 que_cs hacer_vmn0000 es_vsip000 no_rn comprarles_vmip000 la_da0000 moto_nc0s000 para_sp000 reyes_nc0p000 ._fp#terceraselecciones_nc0p000,synthetic.preterit,Twitter,-5.9844589,37.3890924,86,12
singular,noticias,tail.setting,Madrid,Community of Madrid,present,Center,Madrid,buena_aq0000 noticia_nc0s000 el_da0000 que_pr000000 no_rn,haya_vasp000,noticias_nc0p000 de_sp000 nuestro_dp0000 atletismo_nc0s000 desde_sp000 rio_nc0s000 ..._fs ellos_pp000000 siguen_vmip000 su_dp0000 preparación_nc0s000 y_cc concentrados_aq0000 en_sp000 su_dp0000 trabajo_nc0s000 ..._fs ánimo_nc0s000 !!!_aq0000,other,Twitter,-3.7037902,40.4167754,106,8
singular,medios,tail.setting,A Coruña,Galicia,present,North,A Coruña,me_p0000000 parece_vmip000 incomprensible_aq0000 que_cs no_rn,haya_vasp000,medios_nc0p000 suficientes_aq0000 para_sp000 localizar_vmn0000 a_sp000 los_da0000 pirómanos_nc0p000 o_cc a_sp000 quienes_pr000000 provocan_vmip000 los_da0000 incendios._nc0n000,other,Twitter,-8.4115401,43.3623436,79,6
singular,ratos,tail.setting,Asturias,Asturias,absent,North,Oviedo,suicideartifex_nc0p000 pero_cc ese_dd0000 pintaba_vmii000 algo_pi000000 ahí_rg porque_cs yo_pp000000,había_vaii000,ratos_nc0p000 que_pr000000 hasta_rg me_p0000000 olvidaba_vmii000 completamente_rg de_sp000 él_pp000000 xd_nc0n000,other,Twitter,-5.8493887,43.3619145,45,5
singular,turistas,head,Sevilla,Andalusia,absent,South,Seville,playstationes_nc0p000 no_rn sé_vmip000 yo_pp000000 si_cs,habrá_vaif000,"turistas_nc0p000 ,_fc pero_cc pa_sp000 '_fz mí_pp000000 que_cs sus_dp0000 playas_nc0p000 se_pp000000 van_vmip000 a_sp000 llenar_vmn0000 de_sp000 domingueros_nc0p000 !!_aq0000#descubrenomanssky_rg xd_nc0n000",other,Twitter,-5.9844589,37.3890924,85,8
plural,tacos,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,alvarofierfox_nc0s000,siguen_vmip000 habiendo_vag0000,tacos_nc0p000,other,Twitter,-3.7037902,40.4167754,0,5
singular,clases,tail.setting,Barcelona,Catalonia,absent,East,Sant Feliu de Llobregat,30_z0 goles_nc0p000 de_sp000 guaje7villa_nc0s000 con_sp000 el_da0000 nycfcespanol_nc0s000 en_sp000 48_z0 partidos_nc0p000 ._fpsiempre_rg,hubo_vais000,"clases_nc0p000 ,_fc y_cc villa_vmip000 siempre_rg fue_vsis000 el_da0000 más_rg listo.httpst.contkdwgl6pi_nc0s000",synthetic.preterit,Twitter,2.0494619,41.38467,55,6
singular,sastres,head,Palencia,Castilla y León,absent,Center,Santervás de la Vega,"en palencia, o bien en saldaña ",había, sastres también. ,other,Coser,-4.7989382,42.5058483,11,7
singular,fincas,tail.setting,Palencia,Castilla y León,absent,Center,Olmos de Ojeda,ando se labraba todo con las parejas,había,inclusive años de muchas fincas,other,Coser,-4.4252828,42.7230533,25,6
plural,hombres,head,Barcelona,Catalonia,absent,East,Barcelona,como_cs,pueden_vmip000 haber_van0000,hombres_nc0p000 así_rg de_sp000 asquerosos_nc0p000 xd_nc0n000,other,Twitter,2.1734035,41.3850639,21,7
singular,sitios,tail.setting,Madrid,Community of Madrid,present,Center,Madrid,"oh_pi000000 por_sp000 favor_nc0s000 ,_fc no_rn",había_vaii000,más_rg sitios_nc0p000 en_sp000 los_da0000 que_pr000000 picarme_vmsp000 que_cs en_sp000 el_da0000 pie_nc0s000 y_cc encima_rg me_p0000000 provoca_vmip000 reacción_nc0s000 alérgica_aq0000 ._fpestos_dd0000 arácnidos_nc0p000 ..._fs,other,Twitter,-3.7037902,40.4167754,91,6
singular,fans,head,Madrid,Community of Madrid,absent,Center,Leganés,no_rn entiendo_vmip000 que_cs,haya_vasp000,"fans_nc0p000 de_sp000 agentes_nc0p000 de_sp000 shield_nc0s000 a_sp000 los_da0000 que_pr000000 les_pp000000 caiga_vmsp000 bien_rg ward_nc0s000 ,_fc que_pr000000 asco_nc0s000 de_sp000 tío_nc0s000 joder_i !_fat",other,Twitter,-3.7686545,40.3319506,77,4
singular,homosexuales,head,Córdoba,Andalusia,absent,South,Córdoba,qué_pt000000 más_rg dará_vmif000 que_cs,haya_vasp000,"homosexuales_nc0p000 o_cc no_rn y_cc si_cs te_p0000000 molesta_vmip000 ,_fc te_pp000000 aguantas_vmip000 ._fpcuantas_di0000 cosas_nc0p000 más_rg",other,Twitter,-4.7793835,37.8881751,47,12
singular,concursos,tail.setting,Barcelona,Catalonia,absent,East,Barcelona,alxhabbo_nc0s000 antes_rg,había_vaii000,concursos_nc0p000 y_cc eventos_nc0p000 que_pr000000 no_rn eran_vsii000 de_sp000 los_da0000 baw_nc0n000,other,Twitter,2.1734035,41.3850639,33,9
singular,cojones,tail.setting,Málaga,Andalusia,present,South,Málaga,fenix_granha_nc0s000 es_vsip000 que_cs no_rn,había_vaii000,cojones_nc0p000 de_sp000 meterlo_nc0s000 al_vmip000 final_nc0s000 casi_rg se_p0000000 me_pp000000 he_vaip000 atendido_vmp0000 que_cs subir_vmn0000 encima_rg,other,Twitter,-4.4212655,36.721261,60,7
singular,personas,head,Zamora,Castilla y León,absent,Center,Villalba de Lampreana,porque ,había, algunos que no sabían cargarlos.,other,Coser,-5.639223,41.7430599,33,8
singular,amigos,head,Valladolid,Castile and León,absent,Center,Valladolid,"hedu11_z0 lamadrigueraale_zm rociomdp_nc0s000 vidas_pixeladas_aq0000 no_rn puedo_vmip000 ,_fc",había_vaii000,"amigos_nc0p000 ..._fs panceta_nc0s000 ,_fc morcilla_nc0s000 ,_fc costillas_nc0p000 ,_fc salchichas_nc0p000 ,_fc alitas_nc0p000 de_sp000 pollo_nc0s000 ..._fs",other,Twitter,-4.7245321,41.652251,70,6
singular,personas,head,Madrid,Community of Madrid,present,Center,Madrid,"@aracem_nc0s000 eso_pd000000 mismo_pi000000 he_vaip000 pensado_vmp0000 yo_pp000000 antes_rg ,_fc que_cs no_rn",había_vaii000,más_rg personas_nc0p000 en_sp000 el_da0000 mundo.,other,Twitter,-3.7037902,40.4167754,17,8
singular,personajes,head,Madrid,Community of Madrid,absent,Center,Madrid,"pablojoestar_vmn0000 hatsurobin_nc0s000 no_rn se_pp000000 ,_fc supongo_vmip000 que_cs será_vsif000 más_rg o_cc menos_rg como_cs si_cs fuera_vssi000 el_da0000 inicio_nc0s000 pero_cc con_sp000 cosas_nc0p000 inventadas_aq0000 ._fppara_sp000 que_cs",haya_vasp000,más_rg personajes_nc0p000,other,Twitter,-3.7037902,40.4167754,4,10
singular,lagaradas,tail.setting,Zamora,Castilla y León,absent,Center,Villalba de Lampreana,porque ,había," unas lagaradas que pa qué,",other,Coser,-5.639223,41.7430599,18,9
singular,hoteles,tail.setting,Castellón,Valencian Community,present,East,Castellón de la Plana,como_cs es_vsip000 posible_aq0000 que_cs no_rn,haya_vasp000,hoteles_nc0p000 disponibles_aq0000 en_sp000 motril_aq0000 para_sp000 el_da0000 1314_z0,other,Twitter,-0.0513246,39.9863563,35,7
singular,losas,tail.setting,Guadalajara,Castilla-La-Mancha,absent,Center,Yebra," y, y allí ",había, como unas losas de piedra,other,Coser,-2.9663075,40.3564009,21,5
singular,heridos,tail.setting,Ciudad Real,Castile-La Mancha,present,Center,Tomelloso,marca_nc0s000 marcatmf_np00000 lo_da0000 importante_aq0000 es_vsip000 que_cs no_rn,haya_vasp000,"heridos_nc0p000 ,_fc todo_pi000000 lo_da0000 que_pr000000 sea_vssp000 por_sp000 la_da0000 seguridad_nc0s000 lo_pp000000 veo_vmip000 bien_rg ,_fc lo_da0000 demás_pi000000 puede_vmip000 esperar._nc0p000",other,Twitter,-3.0214475,39.1583745,73,7
singular,haters,head,Granada,Andalusia,absent,South,Granada,y_cc que_cs,haya_vasp000,haters_nc0p000 de_sp000 rafa_nc0s000 en_sp000 su_dp0000 propio_di0000 país_nc0s000 ._fpno_rn nos_p0000000 lo_pp000000 merecemos_vmip000 !_fat,other,Twitter,-3.5985571,37.1773363,47,6
singular,ultras,tail.setting,León,Castile and León,absent,Center,Ponferrada,marioxose_nc00000 azoteblanco1923_z0 alexandritaglok_zm svlserggio_aq0000 __f0 por_sp000 que_cs allí_rg si_cs,había_vaii000,ultras_nc0p000 no_rn la_pp000000 mierda_nc0s000 que_cs tenéis_vmsp000 ahora_rg ._fp ._fp,other,Twitter,-6.598259,42.5499958,34,6
singular,obras,tail.setting,Segovia,Castilla y León,absent,Center,Muñoveros, aquí ,hubo, obras preciosas. ,synthetic.preterit,Coser,-3.9515009,41.1724717,13,5
singular,médico.y.veterinario,head,Teruel,Aragón,absent,East,Bronchales,siempre ,ha habido, médico y veterinario,other,Coser,-1.5880904,40.5088378,21,20
singular,personas,head,Lugo,Galicia,absent,North,Lugo,es_vsip000 inevitable_aq0000 y_cc no_rn importa_vmip000 ._fpsiempre_rg,habrá_vaif000,"personas_nc0p000 que_pr000000 crean_vmsp000 en_sp000 conspiraciones_nc0p000 ..._fs etiénne_nc0s000 davignon_aq0000 ,_fc presidente_nc0s000 ..._fs httpst.cofrigbzvwqb_nc0s000",other,Twitter,-7.5567582,43.0097384,86,8
singular,agujeros,tail.setting,Almería,Andalusia,absent,South,Almería,ligo_nc0s000,puede_vmip000 haber_van0000,probado_aq0000 que_cs hay_vaip000 agujeros_nc0p000 negros_aq0000 primordiales_aq0000 httpst.co7iiwnoo2nc_z0 vía_nc0s000 cienciaplus_nc0n000,other,Twitter,-2.4637136,36.834047,72,8
singular,clases,tail.setting,A Coruña,Galicia,absent,North,Santiago de Compostela,"enhorabuena_nc00000 por_sp000 tu_dp0000 champions_nc0s000 particular_aq0000 ,_fc siempre_rg",hubo_vais000,clases_nc0p000 httpst.coh4sh1pjj52_nc0s000,synthetic.preterit,Twitter,-8.5448445,42.8782132,20,6
singular,turistas,head,Barcelona,Catalonia,present,East,Barcelona,"los_da0000 brasileños_nc0p000 son_vsip000 un_di0000 poco_rg cortos_aq0000 ,_fc será_vsif000 que_cs no_rn",habrá_vaif000,turistas_nc0p000 ..._fs httpst.co1rmqkcn9mv_nc0s000,other,Twitter,2.1734035,41.3850639,24,8
singular,actuaciones,tail.setting,Cádiz,Andalusia,absent,South,Benalup-Casas Viejas,,había_vaii000,actuaciones_nc0p000 mejores_aq0000 pero_cc adoro_vmip000 esta_dd0000 canción_nc0s000 y_cc pasó_vmis000 a_sp000 2m_z0 de_sp000 mi_dp0000 ..._fs sigo_vmip000 en_sp000 una_di0000 nube_nc0s000 httpst.cotnj8mqeau7_nc0s000,other,Twitter,-5.8166423,36.3431854,91,11
singular,cosas,tail.setting,Sevilla,Andalusia,absent,South,Seville,daamidelgado_aq0000 torrenet_nc0s000 aquí_rg en_sp000 el_da0000 92_z0,hubo_vais000,"cosas_nc0p000 que_pr000000 estuvieron_vmis000 listas_aq0000 sobre_sp000 la_da0000 bocina_nc0s000 ,_fc pero_cc el_da0000 éxito_nc0s000 en_sp000 sevilla_nc0s000 y_cc barcelona_vmm0000 fue_vsis000 brutal_aq0000",synthetic.preterit,Twitter,-5.9844589,37.3890924,88,5
singular,virales,tail.setting,Biscay,Basque Country,absent,North,Bilbao,cuántas_pt000000 cosas_nc0p000,puede_vmip000 haber_van0000,virales_nc0p000 a_sp000 lo_da0000 largo_aq0000 del_sp000 día_nc0s000 palabras_nc0p000 que_pr000000 se_p0000000 desgastan_vmip000 por_sp000 el_da0000 uso._nc0s000,other,Twitter,-2.9349852,43.2630126,57,7
singular,veces,tail.setting,Navarra,Navarra,absent,North,Tudela,me_p0000000 jode_vmip000 que_cs,haya_vasp000,veces_nc0p000 que_pr000000 no_rn me_p0000000 acuerde_vmsp000 de_sp000 tu_dp0000 voz_nc0s000 ni_cc de_sp000 tu_dp0000 risa_nc0s000 y_cc sobretodo_aq0000 el_da0000 echarte_nc0s000 tanto_rg de_sp000 menos_rg y_cc no_rn poder_vmn0000 o_cc no_rn saber_vmn0000 hacer_vmn0000 nada._np00000,other,Twitter,-1.6063169,42.0613816,114,5
singular,carteles,tail.setting,Granada,Andalusia,absent,South,Granada,@nosoylagente_sp000 lo_da0000 gracioso_aq0000 es_vsip000 que_cs en_sp000 mi_dp0000 facultad_nc0s000,había_vaii000,"carteles_nc0p000 enorms_aq0000 aclamando_vmg0000 al_rg catalán_aq0000 como_cs lengua_nc0s000 europea_aq0000 ._fppensé_vmis000 que_cs era_vsii000 broma_nc0s000 ,_fc pero_cc no",other,Twitter,-3.5985571,37.1773363,74,8
singular,tocamientos,tail.setting,Álava,Basque Country,absent,North,Vitoria-Gasteiz,"víctima_nc0s000 del_sp000 ex_aq0000 párraco_nc0s000 de_sp000 can_np00000 picafort_nc0s000 :_fd '_fz me_pp000000 encerraba_vmii000 en_sp000 su_dp0000 habitación_nc0s000 ,_fc donde_pr000000",había_vaii000,tocamientos_nc0p000 y_cc abusos_nc0p000 '_fz https://t.co/weewkccevj,other,Twitter,-2.6817918,42.8591656,35,11
plural,confusiones,tail.setting,Alicante,Valencian Community,present,East,Alicante,zetaeme_rap94_nc00000 es_vsip000 para_sp000 que_cs no_rn,hayan_vasp000,confusiones_nc0p000 -lrb-_aq0000,other,Twitter,-0.4906855,38.3459963,6,11
plural,edificios,tail.setting,Ciudad Real,Castilla-La-Mancha,present,Center,Argamasilla de Alba," aquí pues según la historia, él tenía un caballo y como no ",habían,", a lo mejor, no ",other,Coser,-3.0951959000000002,39.1264201,17,9
plural,cosas,tail.setting,Murcia,Region of Murcia,absent,South,Murcia,pandicorn88_z0 pffff_vsis000 a_sp000 saber_vmn0000 jajaja_nc00000,deben_vmip000 haber_van0000,cosas_nc0p000 del_sp000 ancestro_nc0s000,other,Twitter,-1.1306544,37.9922399,13,5
plural,cajas,tail.setting,Barcelona,Catalonia,absent,East,Barcelona,"i_nc0s000 ,_fc claro_rg ,_fc vam_nc0s000 flipar_vmn0000 !_fatpatates_nc0p000 gratis_rg !_fati_nc0s000 bones_aq0000 !_fati_nc0s000 aquí_rg que_cs mon_np00000 avi_np00000 va_vmip000 fer_nc0s000 la_da0000 pregunta_nc0s000 del_sp000 segle_vsn0000 ..._fs ""_fe hijo_nc0s000 ,_fc",habían_vaii000,"más_rg cajas_nc0p000 ""_fe",other,Twitter,2.1734035,41.3850639,6,5
singular,panes,tail.setting,Palencia,Castilla y León,absent,Center,Olmos de Ojeda,aquellos panes de dos kilos que ,había, antiguamente,other,Coser,-4.4252828,42.7230533,13,5
singular,sastres,head,Zaragoza,Aragón,absent,East,Almonacid de la Cuba,"pero vamos, ",había, sastres también. ,other,Coser,-0.7922148,41.2809656,11,7
singular,cuarteles,tail.setting,Barcelona,Cataluña,absent,East,Valeria,,había, dos cuarteles ,other,Coser,-2.1472722,39.8124748,6,9
singular,leyes,head,Guadalajara,Castilla-La-Mancha,present,Center,Yebra,entonces no ,había, leyes,other,Coser,-2.9663075,40.3564009,1,5
singular,milagros,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,para_sp000 no_rn olvidar_vmn0000 nunca_rg ._fptambién_rg,hubo_vais000,milagros_nc0p000 ._fphttpst.comasqzfb6hd_nc0s000,synthetic.preterit,Twitter,-3.7037902,40.4167754,15,8
singular,problemas,tail.setting,Valladolid,Castile and León,absent,Center,Boecillo,"porque_cs sino_cc acostumbrarás_vmn0000 a_sp000 esa_dd0000 persona_nc0s000 a_sp000 verte_nc0s000 y_cc actuar_vmn0000 contigo_nc0s000 de_sp000 una_di0000 manera_nc0s000 ,_fc que_pr000000 a_sp000 la_da0000 larga_aq0000 no_rn te_p0000000 gustara_vmsi000 y_cc",habrá_vaif000,problemas_nc0p000 ._fpconsejo._nc0s000,other,Twitter,-4.7005972,41.5415157,3,9
singular,cerdos,head,Guadalajara,Castilla-La-Mancha,absent,Center,Yebra,,había," años que a lo mejor mataban dos cerdos,",other,Coser,-2.9663075,40.3564009,34,6
singular,camisas,tail.setting,Málaga,Andalucía,absent,South,Antequera,me acuerdo que los camisones ,hubo," algunos que me hice de, de sus camisas, que era todo esto de tira bordada, ",synthetic.preterit,Coser,-4.5593676,37.020001,69,7
singular,jugadores,head,Huelva,Andalusia,absent,South,Huelva,"cdb_ebenitez_nc0s000 pabloma_4_z0 cuidadlo_vmip000 bien_rg ,_fc que_pr000000 los_pp000000",podrá_vmif000 haber_van0000,mejores_aq0000 jugadores_nc0p000 -lrb-_np00000 pocos_di0000 -rrb-_np00000 pero_cc tan_rg buena_aq0000 persona_nc0s000 es_vsip000 difícil.mucha_aq0000 suerte_nc0s000 pablito_nc0s000,other,Twitter,-6.9447224,37.261421,81,9
singular,matarifes,head,Alicante,Comunidad Valenciana,absent,East,Belmonte, ,había, más tres [matarifes],other,Coser,-2.7055583,39.5579559,12,9
singular,sobrecostes,tail.setting,Álava,Basque Country,absent,North,Vitoria-Gasteiz,compromís_nc0p000 quiere_vmip000 que_cs pastor_nc0s000 aclare_vmsp000 si_cs,hubo_vais000,sobrecostes_nc0p000 en_sp000 el_da0000 ave_nc0s000 alicantemurcia_np00000 httpst.coaayvurr96m_z0 vía_nc0s000 eldiarioes_aq0000,synthetic.preterit,Twitter,-2.6817918,42.8591656,60,11
singular,polvos,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,"no_rn es_vsip000 por_sp000 joder_i ni_cc llamar_vmn0000 puta_nc0s000 a_sp000 nadie_pi000000 ,_fc pero_cc te_p0000000 marchaste_vmsp000 y_cc",hubo_vais000,polvos_nc0p000 que_pr000000 no_rn te_p0000000 cobraste._vmip000,synthetic.preterit,Twitter,-3.7037902,40.4167754,20,6
singular,ganas,tail.setting,Madrid,Community of Madrid,present,Center,Madrid,estar_z0 viendo_vmg0000 #alertacobra_np00000 y_cc que_pr000000 abajo_rg anuncien_vmm0000 #quantico_nc0s000 no_rn,puede_vmip000 haber_van0000,más_rg ganas_nc0p000 de_sp000 lunes_w #yosoyquantico_aq0000 @cuatro_nc0s000,other,Twitter,-3.7037902,40.4167754,36,5
singular,errores,tail.setting,Badajoz,Extremadura,absent,South,Tierra de Badajoz,inf_entropy_nc00000 marslain_nc00000 todos_pi000000 hemos_vaip000 escuchado_vmp0000 historias_nc0p000 pasadas_aq0000 en_sp000 los_da0000 hospitales_nc0p000 en_sp000 los_da0000 que_pr000000,hubo_vais000,errores_nc0p000 y_cc nadie_pi000000 dijo_vmis000 ni_rg mu_nc0n000,synthetic.preterit,Twitter,-6.9706535,38.8794495,19,7
plural,videos,tail.setting,Alicante,Valencian Community,absent,East,Alicante,@mohammadhasankl_np00000 nos_p0000000 estas_dd0000 intentando_vmg0000 decir_vmn0000 que_cs,habrán_vaif000,videos_nc0p000 de_sp000 cocina_nc0s000 con_sp000 muya_nc0s000 ?_fitjajajjaj,other,Twitter,-0.4906855,38.3459963,21,6
plural,vagonetas,head,Castellón,Comunidad Valenciana,absent,East,Lucena del Cid,e sa- | hacían] montones y ,habían," vagonetas, vagonetas",other,Coser,-0.281068,40.1368846,3,9
singular,confusiones,tail.setting,A Coruña,Galicia,present,North,Santiago de Compostela,tamiroff_aq0000 __f0 gerardotc_nc0p000 para_sp000 que_cs no_rn,haya_vasp000,confusiones_nc0p000 yo_pp000000 a_sp000 este_pd000000 le_pp000000 llamaría_vmic000 gerardopc_aq0000 y_cc al_aq0000 fake_np00000 gerardopp_aq0000,other,Twitter,-8.5448445,42.8782132,52,11
singular,elecciones,tail.setting,Segovia,Castile and León,absent,Center,Segovia,"""_fe si_cs ciudadanos_nc0p000 no_rn cambia_vmip000 de_sp000 posición_nc0s000 ,_fc",habrá_vaif000,"elecciones_nc0p000 ""_fe diario_aq0000 público_nc0s000 httpst.connoh3ctmd2_nc0s000",other,Twitter,-4.1088069,40.9429032,37,10
singular,carretes,head,Sevilla,Andalusia,absent,South,Seville,si_cs no_rn te_p0000000 has_vaip000 decepcionado_aq0000 al_nc0n000 abrir_vmn0000 una_di0000 lata_nc0s000 de_sp000 galletas_nc0p000 y_cc sólo_rg,había_vaii000,carretes_nc0p000 de_sp000 hilo_nc0s000 ..._fs no_rn has_vaip000 tenido_vmp0000 infancia._nc0s000,other,Twitter,-5.9844589,37.3890924,36,8
singular,humanos,head,Málaga,Andalusia,absent,South,Málaga,y_cc,habrá_vaif000,"humanos_nc0p000 que_cs graben_vmsp000 con_sp000 el_da0000 móvil_nc0s000 la_da0000 final_nc0s000 de_sp000 100_z0 metros_nc0p000 lisos_aq0000 ,_fc en_sp000 directo_aq0000 ._fpdel_sp000 revés._np00000",other,Twitter,-4.4212655,36.721261,75,7
singular,figuras,tail.setting,Madrid,Community of Madrid,absent,Center,Getafe,@yuluga_np00000,sigue_vmip000 habiendo_vag0000,figuras_nc0p000 de_sp000 objetos_nc0p000 casi_rg,other,Twitter,-3.7323934,40.3082504,16,7
singular,maestros,head,Sevilla,Andalusia,absent,South,Seville,@subversivos__nc0s000 con_sp000 que_cs,haya_vasp000,más_rg maestros_nc0p000 estoy_vmip000 totalmente_rg de_sp000 acuerdo_nc0s000 pero_cc sin_sp000 soldados_nc0p000 quién_pt000000 nos_p0000000 va_vmip000 a_sp000 defender,other,Twitter,-5.9844589,37.3890924,74,8
singular,regalos,tail.setting,Madrid,Community of Madrid,absent,Center,Madrid,estamos_vmip000 de_sp000 lleno_aq0000 preparando_vmg0000 la_da0000 newsletter_nc0s000 oficial_nc0s000 !,_fathabrá_vaif000,regalos_nc0p000 para_sp000 captar_vmn0000 suscriptores_i !_fathttpst.cof12dm7jknp_z0 suscríbete_nc0s000 !_fat,other,Twitter,-3.7037902,40.4167754,53,7
singular,duros,tail.setting,Segovia,Castilla y León,present,Center,Santiuste de San Juan Bautista, porque no ,había, mil duros pa compra,other,Coser,-4.57147,41.1564838,15,5
